"Benzene, 1-chloro-4-nitro-",C6H4ClNO2,100-00-5
Dititanium trioxide,O3Ti2,1344-54-3
"4,5-epoxy-(E)-2-decenal",C10H16O2,134454-31-2
Diphosphine,H4P2,13445-50-6
Titanium oxide peroxide,O3Ti,1344-55-4
Uranium dioxide,O2U,1344-57-6
Uranium trioxide,O3U,1344-58-7
Triuranium octoxide,O8U3,1344-59-8
Manganese bromide,Br2Mn,13446-03-2
Molybdenum bromide,Br2Mo,13446-56-5
Molybdenum bromide,Br3Mo,13446-57-6
Rubidium fluoride,FRb,13446-74-7
HRb,HRb,13446-75-8
Ethylammonium dicyanochloromercurate (II),C4H5ClHgN3,134491-58-0
Phenmetrazine,C11H15NO,134-49-6
Diantimony trisulfide,S3Sb2,1345-04-6
"Hippuric acid, p-chloro-",C9H8ClNO3,13450-77-6
Gallium tribromide,Br3Ga,13450-88-9
Gallium trichloride,Cl3Ga,13450-90-3
Gallium triiodide,GaI3,13450-91-4
Germanium tetrabromide,Br4Ge,13450-92-5
Germanium tetraiodide,GeI4,13450-95-8
Strontium tetraoxotungstate,O4SrW,13451-05-3
Tellurium monoxide,OTe,13451-17-7
Iron monoxide,FeO,1345-25-1
"1,3,5-triazine-2,4-diamine, N,N,N',N'-tetramethyl-6-(1-pyrrolidinyl)-",C11H20N6,13452-85-2
"Cyclopentasilane,decamethyl-",C10H30Si5,13452-92-1
Tetradecamethylcycloheptasilane,C14H42Si7,13452-94-3
Fluoromethylene,CHF,13453-52-6
Lithium metaborate,BLiO2,13453-69-5
Diethyltartrate dinitrate,C8H12N2O10,13454-52-9
Pentyl methylphosphonofluoridate,C6H14FO2P,13454-59-6
Cesium iodate,CsIO3,13454-81-4
Cesium perchlorate,HClO4.Cs,13454-84-7
Phosphorus triiodide,I3P,13455-01-1
Platinum tetrafluoride,F4Pt,13455-15-7
"5,11-dibutylpentadecane",C23H48,13456-20-7
"1,1-diphenylhexadecane",C28H42,13456-23-0
"heptadecane, 2-benzyl-1-phenyl-",C30H46,13456-24-1
Pyrazophos,C14H20N3O5PS,13457-18-6
8-Azaguanine,C4H4N6O,134-58-7
(Z) 9-(2[1-Naphthyl]ethenyl)acridine,C25H17N,134591-96-1
"Acridine, 9-[2-(1-naphthalenyl)ethenyl]-, (E)-",C25H17N,134591-97-2
"(Z) 9-(2[4-Amino-2,3,5,6-tetramethylphenyl]ethenyl)acridine",C25H24N2,134592-00-0
"Benzenamine, 4-[2-(9-acridinyl)ethenyl]-2,3,5,6-tetramethyl-, (E)-",C25H24N2,134592-01-1
Boron oxide hydroxide,HBO2,13460-50-9
Trihydroxy boroxine,H3B3O6,13460-51-0
Acepromethazine,C19H22N2OS,13461-01-3
"N,N'-Dimethylimidazolidin-2-thione",C5H10N2S,13461-16-0
9-Ethynyl-9-fluorenol,C15H10O,13461-74-0
Diethyltoluamide,C12H17NO,134-62-3
Nickel bromide,Br2Ni,13462-88-9
Iron (II) bromide hydrate,FeBr2.XH2O,13463-12-2
Lead chloride,Cl4Pb,13463-30-4
Nickel tetracarbonyl,C4NiO4,13463-39-3
Iron pentacarbonyl,C5FeO5,13463-40-6
Titanium dioxide,O2Ti,13463-67-7
"2,2,3,3,3-Pentafluoro-propionic acid hexyl ester",C9H13F5O2,134639-01-3
FAsO,AsFO,13464-52-3
HAu,HAu,13464-75-0
Dihydrogen disulfide,H2S2,13465-07-1
Indium tribromide,Br3In,13465-09-3
Indium monochloride,ClIn,13465-10-6
Selenium tetrafluoride,F4Se,13465-66-2
Trifluorosilane,HF3Si,13465-71-9
Triiodosilane,HI3Si,13465-72-0
"Silane, bromo-",H3BrSi,13465-73-1
"Silane, bromotrichloro-",BrCl3Si,13465-74-2
Dibromodichlorosilane,Br2Cl2Si,13465-75-3
Tribromochlorosilane,Br3ClSi,13465-76-4
Hexachlorodisilane,Cl6Si2,13465-77-5
"Silane, chloro-",H3ClSi,13465-78-6
Diiodosilylene,I2Si,13465-83-3
Silicon(iv) iodide,I4Si,13465-84-4
3-Carene,C10H16,13466-78-9
Flexo plasticizer 8n8,C28H53NO5,134-67-8
Strontium tetraoxomolybdate,MoO4Sr,13470-04-7
Titanium trifluoride,F3Ti,13470-08-1
Tungsten pentabromide,Br5W,13470-11-6
Tungsten chloride,Cl2W,13470-12-7
Tungsten tetrachloride,Cl4W,13470-13-8
Tungsten pentachloride,Cl5W,13470-14-9
Uranium tribromide,Br3U,13470-19-4
Uranium tetrabromide,Br4U,13470-20-7
"Boronic acid,phenyl-dimethyl ester",C8H11BO2,13471-35-7
2-(4-Aminophenyl)ethylamine,C8H12N2,13472-00-9
Sodium orthosilicate,Na4SiO4,13472-30-5
Sodium perrhenate,NaO4Re,13472-33-8
Sodium tungsten oxide,Na2O4W,13472-45-2
HOSbO2,HO3Sb,13473-74-0
"Bicyclo[2.2.1]heptane,1-bromo-",C7H11Br,13474-70-9
didocosyl succinate,C48H94O4,13475-47-3
11-n-Butyldocosane,C26H54,13475-76-8
"Eicosane, 9-octyl-",C28H58,13475-77-9
"Heptane, 5-ethyl-2-methyl-",C10H22,13475-78-0
"pentane, 2,4-dimethyl-3-(1-methylethyl)-",C10H22,13475-79-1
"Hexane, 2,2,3,3-tetramethyl-",C10H22,13475-81-5
"2,2,4,6,6-Pentamethylheptane",C12H26,13475-82-6
C10H,C10H,134760-89-7
"benzoic acid, 4-amino-, hexyl ester",C13H19NO2,13476-55-6
Vanadium tris(acetylacetonate),C15H21O6V,13476-99-8
Cl2GeS,Cl2GeS,134772-58-0
Phosphoryl fluoride,F3OP,13478-20-1
Copper monofluoride,CuF,13478-41-6
Niobium bromide,Br5Nb,13478-45-0
Tenuate,C13H19NO.ClH,134-80-5
"Ethanedione, diphenyl-",C14H10O2,134-81-6
"Phosphinic chloride, bis(chloromethyl)-",C2H4Cl3OP,13482-64-9
"2-Propanone, dimethylhydrazone",C5H12N2,13483-31-3
"Benzene, 1-chloro-4-(chlorophenylmethyl)-",C13H10Cl2,134-83-8
C84,C84,134847-09-9
"Methanone, (4-methylphenyl)phenyl-",C14H12O,134-84-9
"Methanone, (4-chlorophenyl)phenyl-",C13H9ClO,134-85-0
4-(1-Aminoethyl)phenol,C8H11NO,134855-87-1
4-Propylcyclohexene-1,C9H16,13487-64-4
"2-Methylene-3,3-dimethyl-bicyclo[2.2.1]heptane-1-amine",C10H17N,13487-72-4
Al(Cl)2(He),C6H13AlCl2,13487-95-1
"Cyclobutanone, 3-acetoxy-2,2,4,4-tetramethyl-",C10H16O3,13487-99-5
Cl2SiS,Cl2SSi,13492-46-1
"4,7-Methano-1H-indene-1,8-dione, 2,4,7,7a-tetraethyl-3a,4,7,7a-tetrahydro-3,3a,5,6-tetraphenyl-, (3a&#945;,4&#945;,7&#945;,7a&#945;)-",C42H40O2,134937-41-0
"4,7-Methano-1H-indene-1,8-dione, 2,7a-diethyl-3a,4,7,7a-tetrahydro-4,7-dimethyl-3,3a,5,6-tetraphenyl-, (3a&#945;,4&#945;,7&#945;,7a&#945;)-",C40H36O2,134937-42-1
"4,7-Methano-1H-indene-1,8-dione, 4,7-diethyl-3a,4,7,7a-tetrahydro-2,7a-dimethyl-3,3a,5,6-tetraphenyl-, (3a&#945;,4&#945;,7&#945;,7a&#945;)-",C40H36O2,134937-43-2
"4,7-Methano-1H-indene-1,8-dione, 7,7a-diethyl-3a,4,7,7a-tetrahydro-2,4-dimethyl-3,3a,5,6-tetraphenyl-, (3a&#945;,4&#945;,7&#945;,7a&#945;)-",C40H36O2,134937-44-3
"1,2-Cyclopentanedione, 3,4-dimethyl-",C7H10O2,13494-06-9
"1,2-Cyclopentanedione, 3,5-dimethyl-",C7H10O2,13494-07-0
"2-Phenyl-3-benzoylquinoxaline-1,4-dioxide",C21H14N2O3,13494-38-7
Tellurium,Te,13494-80-9
OIO,IO2,13494-92-3
Piminodine,C23H30N2O2,13495-09-5
"Benzaldehyde, 4-hydroxy-3,5-dimethoxy-",C9H10O4,134-96-3
Bis(3-(triethoxysilyl)propyl)amine,C18H43NO6Si2,13497-18-2
"Phosphorin, 2,4,6-triphenyl-",C23H17P,13497-36-4
C28,C28,134979-07-0
Disphosphorus tetrachloride,Cl4P2,13497-91-1
Aluminum chloride fluoride,AlCl2F,13497-96-6
HAlCl2,HAlCl2,13497-97-7
Hafnium tetrachloride,Cl4Hf,13499-05-3
"Methanone, phenyl-2-thienyl-",C11H8OS,135-00-2
"Benzene, 1,2-diethyl-",C10H14,135-01-3
"Benzaldehyde, 2-methoxy-",C8H8O2,135-02-4
"2,6-Heptanedione",C7H12O2,13505-34-5
2-Methyl-6-nitrobenzoic acid,C8H7NO4,13506-76-8
CH4O3S,CH4O3S,135074-98-5
"Silane, chloromethyl, ethoxy, dimethyl",C5H13ClOSi,13508-53-7
"Carbonic acid, methyl phenyl ester",C8H8O3,13509-27-8
"1,3,6-Trimethyluracil",C7H10N2O2,13509-52-9
Indium triiodide,I3In,13510-35-5
Beryllium sulfate,BeO4S,13510-49-1
Fullerene epoxide,C60O,135105-53-2
C70,C70,135105-58-7
"Cyclohexene,1-(2-propenyl)-",C9H14,13511-13-2
In4,In4,135113-02-9
Fullerene-C76,C76,135113-15-4
Fullerene-C84,C84,135113-16-5
"Propanoic acid, 3-chloro-2,2-dimethyl-",C5H9ClO2,13511-38-1
O-Methoxy-&#945;-methylbenzyl alcohol,C9H12O2,13513-82-1
"8-Azabicyclo[3.2.1]octane,3-chloro-8-methyl-endo-",C8H14ClN,13514-03-9
"Benzene, 1,4-dibutoxy-2-nitro-",C14H21NO4,135-15-9
Copper monohydride,HCu,13517-00-5
Boron triiodide,BI3,13517-10-7
Hypobromous acid,HBrO,13517-11-8
2-Naphthalenol,C10H8O,135-19-3
Molybdenum bromide,Br4Mo,13520-59-7
Cupferron,C6H6N2O2.NH3,135-20-6
Tungsten dibromide dioxide,Br2O2W,13520-75-7
Tungsten chloride oxide,Cl2O2W,13520-76-8
Tungsten tetrabromide monoxide,Br4OW,13520-77-9
Tungsten chloride oxide,Cl4OW,13520-78-0
Tungsten tetrafluoride oxide,F4OW,13520-79-1
VOCl radical,ClOV,13520-87-1
Pindolol,C14H20N2O2,13523-86-9
O-chloro-alpha-methylbenzyl alcohol,C8H9ClO,13524-04-4
"Boron, dibutyl-(pentan-2,4-dionato)-",C13H25BO2,13524-43-1
C7H6O,C7H6O,135263-20-6
2-Furaldehyde diethyl acetal,C9H14O3,13529-27-6
"3,5-Difluoropropiophenone",C9H8F2O,135306-45-5
3-CN-C6H4-COOCH3,C9H7NO2,13531-48-1
"1-Pentyn-3-one, 4-methyl-",C6H8O,13531-82-3
3-(Methylthio)propanoic acid methyl ester,C5H10O2S,13532-18-8
"5-Amino-2,2-dimethylpentanol",C7H17NO,13532-77-9
Phosphorous bromide dichloride,BrCl2P,13536-48-6
Deuterium bromide,DBr,13536-59-9
BrNO2,BrNO2,13536-70-4
Tribromochlorogermane,Br3ClGe,13536-71-5
Lanthanum tribromide,Br3La,13536-79-3
Neodymium tribromide,Br3Nd,13536-80-6
"Uranium, difluorodioxo-, (T-4)-",F2O2U,13536-84-0
Hydrogen sulfide-d2,D2S,13536-94-2
Phosphine-d3,D3P,13537-03-6
Silane-d4,D4Si,13537-07-0
Europium tungsten tetraoxide,EuO4W,13537-12-7
Titanium fluoride oxide,F2OTi,13537-16-1
Mercury octamer,Hg8,135371-65-2
Mercury decamer,Hg10,135371-66-3
Mercury undecamer,Hg11,135371-67-4
Thulium trichloride,Cl3Tm,13537-18-3
"Sodium undecamer, positive ion",Na11+,135371-84-5
"Sodium tridecamer, positive ion",Na13+,135371-86-7
Fluorogermane,H3FGe,13537-30-9
"Silane, fluoro-",H3FSi,13537-33-2
Mercury hexamer,Hg6,135401-93-3
Mercury heptamer,Hg7,135401-94-4
Mercury nonamer,Hg9,135401-95-5
Mercury dodecamer,Hg12,135401-96-6
"2,5-Dimethyldiphenylmethane",C15H16,13540-50-6
LiNa3,LiNa3,135423-24-4
Hexyl ethylphosphonofluoridate,C8H18FO2P,135445-19-1
"3,4,5-(CH3)3-C6H2-CO2CH3",C11H14O2,13544-66-6
HWO4,HO4W,135446-85-4
"2,3-Dimethylsuccinic acid",C6H10O4,13545-04-5
1-Hydroxy-2-naphthanilide,C17H13NO2,13545-65-8
"2-Butanone, 1-chloro-3,3-dimethyl-",C6H11ClO,13547-70-1
Pentacene,C22H14,135-48-8
Phosphorus dibromide chloride,Br2ClP,13550-32-8
Ammonia-d3,D3N,13550-49-7
"1,3-Dimethyl-4-nitro-5-chloropyrazole",C5H6ClN3O2,13551-73-0
1-Amino-2-butanol,C4H11NO,13552-21-1
"(E,Z,Z)-2,4,7-tridecatrienal",C13H20O,13552-96-0
"1,2-Cycloheptanediol, trans-",C7H14O2,13553-19-0
"Naphthalene, 1-ethyl-1,2,3,4-tetrahydro-",C12H16,13556-58-6
"N-butyl ester of alpha-(2,4,5-trichlorophenoxy)propionic acid",C13H15Cl3O3,13557-98-7
Methyl N-chloroacetylcarbamate,C4H6ClNO3,13558-70-8
2-Bornanone oxime,C10H17NO,13559-66-5
"2-Naphthalenecarboxamide, 3-hydroxy-N-(2-methylphenyl)-",C18H15NO2,135-61-5
3-Hydroxy-2-naphthoyl-ortho-anisidide,C18H15NO3,135-62-6
"Butanoic acid, 3-oxo-, 1-methylpropyl ester",C8H14O3,13562-76-0
p-Nitrophenyl heptyl ether,C13H19NO3,13565-36-1
NSBr+,BrNS+,135659-08-4
HFe2F,HFFe2,135659-25-5
FN3+,FN3+,135659-28-8
ClIO2,ClIO2,135659-29-9
HMg2OH,H2Mg2O,135659-35-7
HCa2OH,H2Ca2O,135659-38-0
HNi2OH,H2Ni2O,135659-42-6
HGe2OH,H2Ge2O,135659-48-2
HSn2OH,H2OSn2,135659-49-3
CH3CCHLi,C3H4Li,135659-52-8
CF3ONO2,CF3NO3,135659-54-0
C5SiH6+,C5H6Si+,135659-55-1
CH3SiOOCH3,C2H6O2Si,135659-58-4
HP(O2)O,HO3P,135659-61-9
OPCl2OCl,Cl3O2P,135659-76-6
HNiOCH3,CH4NiO,135659-77-7
CH3NiOH,CH4NiO,135659-79-9
Lead silicate,O4Pb2Si,13566-17-1
6-Phenyl-5-hexyn-3-ol,C12H14O,135663-98-8
Cu3H2,H2Cu3,135670-39-2
Phenoxazine,C12H9NO,135-67-1
Cedranone,C15H24O,13567-40-3
&#945;-Cedrane,C15H26,13567-54-9
Lithium molybdate,Li2MoO4,13568-40-6
Dilithium tetraoxotungstate,Li2O4W,13568-45-1
Lithium silicate,Li2O5Si2,13568-46-2
NSI+,INS+,135684-79-6
"Propionic acid,2-[(4-amino-1,3-dimethyl-1h-pyrazol-5-yl)thio]-,d-lactam",C8H11N3OS,13568-77-9
Aluminum difluoride,AlF2,13569-23-8
Monomanganese monofluoride,FMn,13569-25-0
Strontium monofluoride,FSr,13569-27-2
Zirconium fluoride,FZr,13569-28-3
Dichlorosilylene,Cl2Si,13569-32-9
"1,2-Dicarbadodecaborane(12), 1-isopropyl-",C5H18B10,13569-38-5
Bromogermane,H3BrGe,13569-43-2
HSiBr,HBrSi,13569-45-4
GeCl3,Cl3Ge,13569-55-6
Niobium chloride (NbCl4),Cl4Nb,13569-70-5
Tantalum chloride,Cl4Ta,13569-72-7
Dysprosium trifluoride,DyF3,13569-80-7
p-Quaterphenyl,C24H18,135-70-6
HGa,HGa,13572-92-4
GaH3,H3Ga,13572-93-5
Gadolinium triiodide,GdI3,13572-98-0
Germanium monohydride,GeH,13572-99-1
"Phosphine, germyl-",H5GeP,13573-06-3
Germanium diiodide,GeI2,13573-08-5
Magnesium tungsten oxide,MgO4W,13573-11-0
"Acetophenone, alpha-bromo-p-phenyl-",C14H11BrO,135-73-9
N-capryl-pyrazinamide,C15H23N3O2,135742-55-1
As5Ga4,As5Ga4,135745-90-3
As4Ga4,As4Ga4,135745-91-4
Cr9,Cr9,135749-27-8
Cr15,Cr15,135749-28-9
Fe15,Fe15,135749-29-0
SSO+,OS2+,135758-60-0
"2,2-Dihydro-1,3-dimethyl-1H-tetrazol-2-one",C3H6N4O,13576-20-0
"1,2,4-Trimethoxybenzene",C9H12O3,135-77-3
"Urea, N-(4-chlorophenyl)-N,N'-dimethyl-",C9H11ClN2O,13578-25-1
6-Isopropylquinoline,C12H13N,135-79-5
2-Methyl-4-nitrophenyl isothiocyanate,C8H6N2O2S,135805-96-8
Lithium deuteride,DLi,13587-16-1
Ammonia-d1,H2DN,13587-49-0
Phosphine-d,H2DP,13587-50-3
Hydroxyl-d,DO,13587-54-7
2-Naphthyl phenyl amine,C16H13N,135-88-6
val-ser,C8H16N2O4,13588-94-8
leu-val,C11H22N2O3,13588-95-9
"Methylene, bromochloro-",CBrCl,13590-47-1
"Benzenamine, 4,4'-methylenebis[N,N-diethyl-",C21H30N2,135-91-1
Quinalphos,C12H15N2O3PS,13593-03-8
Aluminum monochloride,AlCl,13595-81-8
Aluminum monofluoride,AlF,13595-82-9
Tin monobromide monochloride,BrClSn,13595-90-9
Aluminum chloride oxide,AlClO,13596-11-7
Aluminum monofluoride monoxide,AlFO,13596-12-8
Octachlorotrisilane,Cl8Si3,13596-23-1
Rhenium pentachloride,Cl5Re,13596-35-5
Cyclo-pentakis(dichlorophosphonitrile),Cl10N5P5,13596-41-3
"Benzene, (propylsulfonyl)-",C9H12O2S,13596-75-3
Niobium trichloride oxide,Cl3NbO,13597-20-1
"Molybdate, dicesium-",Cs2MoO4,13597-64-3
"8-Azabicyclo[3.2.1]octan-3-ol, 8-methyl-, exo-",C8H15NO,135-97-7
Triphosphine,H5P3,13597-70-1
Phosphoric triamide,H6N3OP,13597-72-3
Disiloxane,H6OSi2,13597-73-4
Beryllium monofluoride,BeF,13597-96-1
Beryllium monohydride,HBe,13597-97-2
Beryllium iodide,BeI,13597-98-3
Beryllium chloride fluoride,BeClF,13598-12-4
Beryllium sulfide,BeS,13598-22-6
(HO)2HPO,H3O3P,13598-36-2
Iodosilane,H3ISi,13598-42-0
Hydrazinyl radical,H3N2,13598-46-4
UH3,H3U,13598-56-6
H5NSi,H5NSi,13598-78-2
"Benzene, (1-methylpropyl)-",C10H14,135-98-8
BeF3K,BeF3K,13600-73-2
"Manganese, pentacarbonyl(trifluoromethyl)-",C6F3MnO5,13601-14-4
"Manganese, pentacarbonylmethyl-",C6H3MnO5,13601-24-6
Dehydroabietal,C20H28O,13601-88-2
"Propanamide, 2,2,3-trichloro-",C3H4Cl3NO,13601-94-0
"Piperidine, 3-(phenylmethyl)-",C12H17N,13603-25-3
"Sulfone, 2-butynyl phenyl,",C10H10O2S,13603-84-4
"Benzene,1,3,5-trimethyl-2-(1-methylethoxy)-",C12H18O,13605-05-5
Al3O radical,Al3O,136060-68-9
Protoveratrine A,C41H63NO14,1360-61-8
As4Ga3,As4Ga3,136071-21-1
As3Ga3,As3Ga3,136071-22-2
Ga2As3,As3Ga2,136071-23-3
"Propanal, 2,2-dimethyl-, (2,4-dinitrophenyl)hydrazone",C11H14N4O4,13608-36-1
"Ethanone, 1-(2,3,4-trichlorophenyl)-",C8H5Cl3O,13608-87-2
"2,5-dimethyl-3-isopropylpyrazine",C9H14N2,13610-20-3
"Adenine, n-(p-nitrophenyl)-",C11H8N6O2,136112-69-1
ethyl 3-(methylthio)-(E)-2-propenoate,C6H10O2S,136115-65-6
"2,5-Dimethylphenylacetic acid",C10H12O2,13612-34-5
"2,4,6-Cycloheptatriene-1-carbonitrile",C8H7N,13612-59-4
As5Ga5,As5Ga5,136139-33-8
LaC8 radical,C8La,136140-02-8
1-Acetamido-2-methyl-naphthalene,C13H13NO,13615-35-5
Methyl(2-phenylpropyl)dichlorosilane,C10H14Cl2Si,13617-28-2
"3,5-diethyl-4-methylpyrazole",C8H14N2,13618-34-3
"cyclohexane, 1,4-dibromo-, trans-",C6H10Br2,13618-83-2
octahydroindolizine,C8H15N,13618-93-4
Methylcyclopentadienyl radical,C6H7,136202-28-3
"1(2H)-Naphthalenone, 3,4-dihydro-5,7-dimethyl-",C12H14O,13621-25-5
"Thiazole, 2,4,5-trimethyl-",C6H9NS,13623-11-5
C11,C11,136250-46-9
"2-(2,4,5-Trichlorophenoxy)ethyl 2,2-dichloropropanoate",C11H9Cl5O3,136-25-4
"9H-Fluoren-9-one, hydrazone",C13H10N2,13629-22-6
"Bicyclo[3.2.0]heptane, 3,3-dimethyl-",C9H16,136302-15-3
"1,1,1-triphenylpentane",C23H24,13630-39-2
"3,4-Dichlorophenyl-4-chlorobenzene sulfonate",C12H7Cl3O3S,13631-45-3
Fullerene-C78,C78,136316-32-0
"benzene, 1-(difluoromethoxy)-4-(4-heptylcyclohexyl)-, trans-",C20H30F2O,136323-87-0
"Benzene, 1,2-diethyl-3-methyl-",C11H16,13632-93-4
"Benzene, 1,4-diethyl-2-methyl-",C11H16,13632-94-5
"Benzene, 1,3-diethyl-2-methyl-",C11H16,13632-95-6
"1-Triazene, 1,3-diphenyl-",C12H11N3,136-35-6
"1,3-Benzenediol, monobenzoate",C13H10O3,136-36-7
Chlorine pentafluoride,ClF5,13637-63-3
Chlorogermane,H3ClGe,13637-65-5
Molybdenum dichloride dioxide,Cl2MoO2,13637-68-8
Chloryl fluoride,ClFO2,13637-83-7
Sulfuryl chloride fluoride,ClFO2S,13637-84-8
Chlorodifluoroamine,ClF2N,13637-87-1
&#945;-Dichlorothioacetic acid,C2H2Cl2OS,13639-16-2
"p-Toluidine, N-methyl-&#945;-phenyl-thio-,",C14H15NS,13641-21-9
"Benzeneethanamine,2,5-dimethoxy-&#945;-methyl-(.+/-.)-",C11H17NO2,13641-74-2
ArBeO,ArBeO,136427-54-8
"1,2-Pentadiene, 4-methyl-",C6H10,13643-05-5
"2,4-Octadiene",C8H14,13643-08-8
Thiodipropylamine,C6H16N2S,13643-20-4
"Benzyl alcohol, 2,3-dimethyl-",C9H12O,13651-14-4
"2,3,6-Trifluorobenzonitrile",C7H2F3N,136514-17-5
"Arsine, dimethylvinyl-",C4H9As,13652-14-7
"Phosphine, dibutylvinyl-",C10H21P,13652-22-7
Alprenolol,C15H23NO2,13655-52-2
"Benzene, 1,1'-(2-butene-1,4-diyl)bis-",C16H16,13657-49-3
Curdione,C15H24O2,13657-68-6
4-Cyano-4-phenylcyclohexanone,C13H13NO,13658-18-9
"Benzenesulfonic acid, 4-bromo-2-chlorophenyl ester",C12H8BrClO3S,13659-13-7
"Benzenesulfonic acid, 2-bromo-4-chlorophenyl ester",C12H8BrClO3S,13659-16-0
"Benzenesulfonic acid, m-chloro-phenyl ester",C12H9ClO3S,13659-18-2
"Benzenesulfonic acid, o-chloro-phenyl ester",C12H9ClO3S,13659-19-3
4-Amino-2-chloro-5(methylsulfamyl)benzenesulfonamide,C7H10ClN3O4S2,13659-98-8
"Benzoic acid, butyl ester",C11H14O2,136-60-7
"Tricyclo[4.3.2.0(1,6)undeca-3-ene",C11H16,136630-09-6
"Tricyclo[4.3.1.0(1,6)]deca-2-ene",C10H14,136630-10-9
1-(p-Chlorophenylthio)-2-propanol,C9H11ClOS,13663-04-2
Terephthalic dihydrazide,C8H10N4O2,136-64-1
AlBr2,AlBr2,136684-48-5
2-Cyclopentene-1-acetic acid,C7H10O2,13668-61-6
"Piperidine, 1-methyl,4-methylene-",C7H13N,13669-28-8
3-Quinolinecarboxaldehyde,C10H7NO,13669-42-6
water-t,HOT,13670-17-2
"Ethanone, 1-(2,6-difluorophenyl)-",C8H6F2O,13670-99-0
"2,6-Difluorobenzoic acid, methyl ester",C8H6F2O2,13671-00-6
"4,4'-Azoxydipyridine, 1,1'-dioxide",C10H8N4O3,13673-30-8
CH3NO+,CH3NO+,136734-00-4
"2(3H)-Benzoxazolethione,3-methyl-",C8H7NOS,13673-63-7
"Benzophenone, 5-chloro-2-hydroxy-4,4'-dimethoxy-",C15H13ClO4,136741-44-1
Methyl 2-hydroxy-3-phenylpropanoate,C10H12O3,13674-16-3
"Tris(1,3-dichioro-2-propyl) phosphate",C9H15Cl6O4P,13674-87-8
Dihydroxyborane,H4B2O4,13675-18-8
"p,p'-Bis(N-maleimidophenyl)methane",C21H14N2O4,13676-54-5
Hexylresorcinol,C12H18O2,136-77-6
2-(2-furanylmethyl)-5-methylfuran,C10H10O2,13678-51-8
"thiophene, 4-ethyl-2-methyl-",C7H10S,13678-54-1
2-Butanone-1-(methylthio)-,C5H10OS,13678-58-5
"Furan, 2-methyl-5-(methylthio)-",C6H8OS,13678-59-6
2-difurfuryl sulfide,C10H10O2S,13678-67-6
"Ethanethioic acid, S-(2-furanylmethyl) ester",C7H8O2S,13678-68-7
"Caproic acid, 3-hydroxy, di-TMS",C12H28O3Si2,136788-82-4
3-phenylfuran,C10H8O,13679-41-9
2-Furfuryl methyl ether,C6H8O2,13679-46-4
"Furan, 2-methyl-5-(3-oxobutyl)",C9H12O2,13679-56-6
"2-Furancarbothioic acid, S-methyl ester",C6H6O2S,13679-61-3
5-Methyl-2-thiophenecarboxaldehyde,C6H6OS,13679-70-4
2-Acetyl-3-methylthiophene,C7H8OS,13679-72-6
2-acetyl-4-methylthiophene,C7H8OS,13679-73-7
2-Acetyl-5-methylthiophene,C7H8OS,13679-74-8
1-(2-Thienyl)-1-propanone,C7H8OS,13679-75-9
"2-methyl-4,5-dihydro-3(2H)-thiophenone",C5H8OS,13679-85-1
N-(o-Tolyl)ethanolamine,C9H13NO,136-80-1
,,13680-30-3
Bis-(4-amino-5-tert-butyl-3-methylphenyl)methane,C23H34N2,13680-36-9
Bis(diethyldithiocarbamate)copper(ii),C10H20CuN2S4,13681-87-3
"Cobalt, nonacarbonyl[&#956;<sup>3</sup>-(chloromethylidyne)]tri-, triangulo",C10ClCo3O9,13682-02-5
&#956;<sup>3</sup>-Phenylmethylidyne-tricobalt nonacarbonyl,C16H5Co3O9,13682-03-6
"Cobalt, nonacarbonyl-&#956;<sup>3</sup>-ethylidynetri-, triangulo",C11H3Co3O9,13682-04-7
ArKrD,ArDKr,136821-32-4
Piperocaine,C16H23NO2,136-82-3
"Iron, dicarbonyldinitrosyl-",C2FeN2O4,13682-74-1
"Salicylic acid, 4-nitro-, methyl ester",C8H7NO5,13684-28-1
"1,3-Bis(hydroxymethyl)-2-imidazolidinone",C5H10N2O3,136-84-5
Desmedipham,C16H16N2O4,13684-56-5
Methyl 3-m-tolylcarbamoyloxyphenylcarbamate,C16H16N2O4,13684-63-4
C64,C64,136846-55-4
c66-Fullerene,C66,136846-56-5
c68-Fullerene,C68,136846-57-6
C74 radical,C74,136846-58-7
C82 radical,C82,136846-59-8
Fullerene-C118,C118,136846-64-5
"3,4-Dimethylenebicyclo[4.2.0]octa-1,5-diene",C10H10,136846-72-5
"1H-Benzotriazole, 5-methyl-",C7H7N3,136-85-6
Bi4-,Bi4-,136857-82-4
C6S4O2,C6O2S4,136862-83-4
Tert-butyl azide,C4H9N3,13686-33-4
2-(1-Naphthyl)ethyl bromide,C12H11Br,13686-49-2
"Titanium, dimethyl-bis[(1,2,3,4,5-&#951;)-1,2,3-trimethyl-2,4-cyclopentadien-1-yl)]",C18H28Ti,136868-15-0
"1,5,11,14-pentadecanetetrol",C15H32O4,13687-00-8
Cyclopentadienyl dimethyl chlorosilane,C7H11ClSi,13688-59-0
"1H-Pyrazol-5-ol, 3-methyl-1-phenyl-4-(phenylmethyl)-",C17H16N2O,136886-26-5
"Silane,5-trichloro-2,4-cyclopentadien-1-yl-",C5H5Cl3Si,13688-63-6
"Undecadiene, 1,10-",C11H20,13688-67-0
"9,9-Dimethyl-9-silafluorene",C14H14Si,13688-68-1
4-(Chloromethyl)phenyltrichlorosilane,C7H6Cl4Si,13688-90-9
Diphenylcyclohexylphosphine oxide,C18H21OP,13689-20-8
